pollutant,horizon,model,rmse,mae,r2,mape
pm25,1h,Naive baseline,7.974,5.564,0.674,24.3
pm25,1h,Ridge,5.755,3.895,0.83,18.3
pm25,1h,Random Forest,5.442,3.569,0.848,16.6
pm25,1h,Gradient Boosting,5.417,3.607,0.85,16.8
pm25,6h,Naive baseline,15.299,11.206,-0.199,55.2
pm25,6h,Ridge,9.09,6.39,0.577,34.5
pm25,6h,Random Forest,9.112,6.295,0.575,33.3
pm25,6h,Gradient Boosting,8.81,6.138,0.602,31.9
pm25,12h,Naive baseline,15.514,11.306,-0.232,56.7
pm25,12h,Ridge,9.124,6.361,0.574,35.3
pm25,12h,Random Forest,9.533,6.565,0.535,35.1
pm25,12h,Gradient Boosting,9.432,6.453,0.544,33.8
pm25,24h,Naive baseline,11.637,8.205,0.307,43.9
pm25,24h,Ridge,9.19,6.412,0.568,36.7
pm25,24h,Random Forest,9.479,6.585,0.54,36.6
pm25,24h,Gradient Boosting,9.546,6.555,0.534,35.9
pm10,1h,Naive baseline,8.384,5.936,0.679,23.1
pm10,1h,Ridge,6.5,4.65,0.807,20.8
pm10,1h,Random Forest,5.995,4.079,0.836,17.8
pm10,1h,Gradient Boosting,5.871,4.007,0.843,17.2
pm10,6h,Naive baseline,16.117,11.964,-0.187,52.5
pm10,6h,Ridge,11.072,8.362,0.44,43.4
pm10,6h,Random Forest,10.386,7.814,0.507,41.3
pm10,6h,Gradient Boosting,10.29,7.588,0.516,37.2
pm10,12h,Naive baseline,16.529,12.2,-0.248,53.9
pm10,12h,Ridge,11.69,8.856,0.376,48.5
pm10,12h,Random Forest,11.435,8.508,0.403,45.9
pm10,12h,Gradient Boosting,11.567,8.602,0.389,46.0
pm10,24h,Naive baseline,13.634,9.842,0.151,46.8
pm10,24h,Ridge,11.89,9.175,0.355,52.1
pm10,24h,Random Forest,11.879,8.948,0.356,49.6
pm10,24h,Gradient Boosting,12.359,9.041,0.303,50.5
